Date (Daily +00:00: 01/01/2013 - 12/31/2013),Series,Value
2013-07-24,FOXNEWS,0.1863
2013-07-25,FOXNEWS,0.2768
2013-07-26,FOXNEWS,0.281
2013-07-27,FOXNEWS,0.2298
2013-07-28,FOXNEWS,0.5085
2013-07-29,FOXNEWS,0.2154
2013-07-30,FOXNEWS,0.3571
2013-07-31,FOXNEWS,0.2583
2013-08-01,FOXNEWS,0.2311
2013-08-02,FOXNEWS,0.1153
2013-08-03,FOXNEWS,0.38
2013-08-04,FOXNEWS,0.7414
2013-08-05,FOXNEWS,0.4665
2013-08-06,FOXNEWS,0.1384
2013-08-07,FOXNEWS,0.4186
2013-08-08,FOXNEWS,0.5584
2013-08-09,FOXNEWS,0.3942
2013-08-10,FOXNEWS,0.3646
2013-08-11,FOXNEWS,0.4737
2013-08-12,FOXNEWS,0.3754
2013-08-13,FOXNEWS,0.2976
2013-08-14,FOXNEWS,0.2294
2013-08-15,FOXNEWS,0.465
2013-08-16,FOXNEWS,0.1778
2013-08-17,FOXNEWS,0.3693
2013-08-18,FOXNEWS,0.4075
2013-08-19,FOXNEWS,0.2591
2013-08-20,FOXNEWS,0.3712
2013-08-21,FOXNEWS,0.2315
2013-08-22,FOXNEWS,0.7442
2013-08-23,FOXNEWS,0.7181
2013-08-24,FOXNEWS,0.4172
2013-08-25,FOXNEWS,0.5108
2013-08-26,FOXNEWS,0.2832
2013-08-27,FOXNEWS,0.3027
2013-08-28,FOXNEWS,0.4336
2013-08-29,FOXNEWS,0.3966
2013-08-30,FOXNEWS,0.2078
2013-08-31,FOXNEWS,0.0672
2013-09-01,FOXNEWS,0.2922
2013-09-02,FOXNEWS,0.1671
2013-09-03,FOXNEWS,0.1115
2013-09-04,FOXNEWS,0.1157
2013-09-05,FOXNEWS,0.1885
2013-09-06,FOXNEWS,0.4349
2013-09-07,FOXNEWS,0.3129
2013-09-08,FOXNEWS,0.5335
2013-09-09,FOXNEWS,0.1806
2013-09-10,FOXNEWS,0.1626
2013-09-11,FOXNEWS,0.0709
2013-09-12,FOXNEWS,0.4001
2013-09-13,FOXNEWS,0.4416
2013-09-14,FOXNEWS,0.2589
2013-09-15,FOXNEWS,0.7073
2013-09-16,FOXNEWS,0.4191
2013-09-17,FOXNEWS,0.2118
2013-09-18,FOXNEWS,0.0918
2013-09-19,FOXNEWS,0.668
2013-09-20,FOXNEWS,0.4171
2013-09-21,FOXNEWS,0.8163
2013-09-22,FOXNEWS,1.0265
2013-09-23,FOXNEWS,1.2354
2013-09-24,FOXNEWS,0.8806
2013-09-25,FOXNEWS,0.4016
2013-09-26,FOXNEWS,0.5931
2013-09-27,FOXNEWS,0.56
2013-09-28,FOXNEWS,0.5845
2013-09-29,FOXNEWS,0.6164
2013-09-30,FOXNEWS,0.658
2013-10-01,FOXNEWS,0.4136
2013-10-02,FOXNEWS,0.9359
2013-10-03,FOXNEWS,0.5231
2013-10-04,FOXNEWS,0.4903
2013-10-05,FOXNEWS,0.235
2013-10-06,FOXNEWS,0.7538
