Date (Daily +00:00: 01/01/2014 - 12/31/2014),Series,Value
2014-12-30,FOXNEWS,0.0252
2014-12-31,FOXNEWS,0.0605
2014-01-01,MSNBC,0
2014-01-02,MSNBC,0.0757
2014-01-03,MSNBC,0
2014-01-04,MSNBC,0
2014-01-05,MSNBC,0
2014-01-06,MSNBC,0.0325
2014-01-07,MSNBC,0.1091
2014-01-08,MSNBC,0
2014-01-09,MSNBC,0.0213
2014-01-10,MSNBC,0
2014-01-11,MSNBC,0
2014-01-12,MSNBC,0.0509
2014-01-13,MSNBC,0.0632
2014-01-14,MSNBC,0
2014-01-15,MSNBC,0
2014-01-16,MSNBC,0.043
2014-01-17,MSNBC,0.0432
2014-01-18,MSNBC,0.0338
2014-01-19,MSNBC,0
2014-01-20,MSNBC,0.032
2014-01-21,MSNBC,0.0214
2014-01-22,MSNBC,0.0214
2014-01-23,MSNBC,0.1071
2014-01-24,MSNBC,0.0216
2014-01-25,MSNBC,0
2014-01-26,MSNBC,0.0988
2014-01-27,MSNBC,0
2014-01-28,MSNBC,0.0639
2014-01-29,MSNBC,0
2014-01-30,MSNBC,0
2014-01-31,MSNBC,0
2014-02-01,MSNBC,0.0335
2014-02-02,MSNBC,0
2014-02-03,MSNBC,0
2014-02-04,MSNBC,0.0426
2014-02-05,MSNBC,0
2014-02-06,MSNBC,0
2014-02-07,MSNBC,0.021
2014-02-08,MSNBC,0
2014-02-09,MSNBC,0
2014-02-10,MSNBC,0
2014-02-11,MSNBC,0
2014-02-12,MSNBC,0
2014-02-13,MSNBC,0
2014-02-14,MSNBC,0
2014-02-15,MSNBC,0
2014-02-16,MSNBC,0
2014-02-17,MSNBC,0
2014-02-18,MSNBC,0
2014-02-19,MSNBC,0
2014-02-20,MSNBC,0.0647
2014-02-21,MSNBC,0
2014-02-22,MSNBC,0.0337
2014-02-23,MSNBC,0
2014-02-24,MSNBC,0.0325
2014-02-25,MSNBC,0.0215
2014-02-26,MSNBC,0
2014-02-27,MSNBC,0.0216
2014-02-28,MSNBC,0
2014-03-01,MSNBC,0.0337
2014-03-02,MSNBC,0
2014-03-03,MSNBC,0.0275
2014-03-04,MSNBC,0
2014-03-05,MSNBC,0.1077
2014-03-06,MSNBC,0.0223
2014-03-07,MSNBC,0
2014-03-08,MSNBC,0
2014-03-09,MSNBC,0
2014-03-10,MSNBC,0
2014-03-11,MSNBC,0.0216
2014-03-12,MSNBC,0
2014-03-13,MSNBC,0
2014-03-14,MSNBC,0
2014-03-15,MSNBC,0
2014-03-16,MSNBC,0
2014-03-17,MSNBC,0.0307
2014-03-18,MSNBC,0.0645
2014-03-19,MSNBC,0.0218
2014-03-20,MSNBC,0
2014-03-21,MSNBC,0.0656
2014-03-22,MSNBC,0
2014-03-23,MSNBC,0
2014-03-24,MSNBC,0
2014-03-25,MSNBC,0.0644
2014-03-26,MSNBC,0.1744
2014-03-27,MSNBC,0.0217
2014-03-28,MSNBC,0.0429
2014-03-29,MSNBC,0.0729
2014-03-30,MSNBC,0.0512
2014-03-31,MSNBC,0
2014-04-01,MSNBC,0
2014-04-02,MSNBC,0.0219
2014-04-03,MSNBC,0.0427
2014-04-04,MSNBC,0
2014-04-05,MSNBC,0.0382
2014-04-06,MSNBC,0.0527
2014-04-07,MSNBC,0.0304
2014-04-08,MSNBC,0.0215
2014-04-09,MSNBC,0.0431
2014-04-10,MSNBC,0.0639
2014-04-11,MSNBC,0
