Date (Daily +00:00: 01/01/2012 - 12/31/2012),Series,Value
2012-08-29,FOXNEWS,0.0991
2012-08-30,FOXNEWS,0.0232
2012-08-31,FOXNEWS,0.0455
2012-09-01,FOXNEWS,0.1203
2012-09-02,FOXNEWS,0.2396
2012-09-03,FOXNEWS,0.4067
2012-09-04,FOXNEWS,0.2854
2012-09-05,FOXNEWS,0.1611
2012-09-06,FOXNEWS,0
2012-09-07,FOXNEWS,0.2282
2012-09-08,FOXNEWS,0.092
2012-09-09,FOXNEWS,0.2665
2012-09-10,FOXNEWS,0.1889
2012-09-11,FOXNEWS,0.0715
2012-09-12,FOXNEWS,0.1416
2012-09-13,FOXNEWS,0.0708
2012-09-14,FOXNEWS,0.1214
2012-09-15,FOXNEWS,0.0242
2012-09-16,FOXNEWS,0.3447
2012-09-17,FOXNEWS,0.3165
2012-09-18,FOXNEWS,0.024
2012-09-19,FOXNEWS,0.0726
2012-09-20,FOXNEWS,0.0964
2012-09-21,FOXNEWS,0.2644
2012-09-22,FOXNEWS,0.1192
2012-09-23,FOXNEWS,0.2867
2012-09-24,FOXNEWS,0.2425
2012-09-25,FOXNEWS,0.1422
2012-09-26,FOXNEWS,0.0483
2012-09-27,FOXNEWS,0.1182
2012-09-28,FOXNEWS,0.0952
2012-09-29,FOXNEWS,0.0721
2012-09-30,FOXNEWS,0.215
2012-10-01,FOXNEWS,0.2163
2012-10-02,FOXNEWS,0.1386
2012-10-03,FOXNEWS,0.213
2012-10-04,FOXNEWS,0.2061
2012-10-05,FOXNEWS,0.1196
2012-10-06,FOXNEWS,0.1693
2012-10-07,FOXNEWS,0.0938
2012-10-08,FOXNEWS,0.0502
2012-10-09,FOXNEWS,0.049
2012-10-10,FOXNEWS,0.1686
2012-10-11,FOXNEWS,0.0966
2012-10-12,FOXNEWS,0.023
2012-10-13,FOXNEWS,0.1194
2012-10-14,FOXNEWS,0.2982
2012-10-15,FOXNEWS,0.0732
2012-10-16,FOXNEWS,0.0729
2012-10-17,FOXNEWS,0.1374
2012-10-18,FOXNEWS,0.073
2012-10-19,FOXNEWS,0.0956
2012-10-20,FOXNEWS,0.1207
2012-10-21,FOXNEWS,0.1711
